book_source,chapter_name,question_number_in_book,question_text,options,correct_option,solution_text,exam_metadata,admin_tags
Pinnacle 6800 6th Ed,Percentage,1,What is 20% of 100?,"{""a"":""10"",""b"":""20"",""c"":""30"",""d"":""40""}",b,$20\%$ of $100 = \dfrac{20}{100}\times 100 = 20$,CAT 2023 Slot 1,"Percentage, Basic Math"
Pinnacle 6800 6th Ed,Percentage,2,"If the price of a commodity increases by 25%, by what percentage should it be reduced to bring it back to the original price?","{""a"":""15%"",""b"":""20%"",""c"":""25%"",""d"":""30%""}",b,Let original price be $100$. After 25% increase: $100 + 25 = 125$. To reduce to $100$: $\dfrac{25}{125} \times 100 = 20\%$,CAT 2022 Slot 2,"Percentage, Price Change"
Pinnacle 6800 6th Ed,Profit & Loss,1,A man buys a pen for ₹50 and sells it at a profit of 20%. Find the selling price.,"{""a"":""55"",""b"":""58"",""c"":""60"",""d"":""62""}",c,Selling Price $= 50 + \dfrac{20}{100}\times 50 = 50 + 10 = 60$,CAT 2022 Slot 2,"Profit & Loss, Profit Calculation"
Pinnacle 6800 6th Ed,Profit & Loss,2,A shopkeeper marks his goods 30% above cost price and gives a discount of 10%. What is his profit percentage?,"{""a"":""15%"",""b"":""17%"",""c"":""20%"",""d"":""23%""}",b,Let CP = 100. MP = 130. SP = 130 - 10% of 130 = 130 - 13 = 117. Profit = 117 - 100 = 17. Profit% = $\dfrac{17}{100} \times 100 = 17\%$,CAT 2021 Slot 1,"Profit & Loss, Marked Price, Discount"
Pinnacle 6800 6th Ed,Simple Interest,1,Find the simple interest on ₹1000 at 10% per annum for 2 years.,"{""a"":""150"",""b"":""180"",""c"":""200"",""d"":""220""}",c,$SI = \dfrac{P \times R \times T}{100} = \dfrac{1000 \times 10 \times 2}{100} = 200$,CAT 2021 Slot 1,"Simple Interest, Interest Calculation"
Pinnacle 6800 6th Ed,Simple Interest,2,At what rate of simple interest will ₹5000 amount to ₹6000 in 4 years?,"{""a"":""4%"",""b"":""5%"",""c"":""6%"",""d"":""8%""}",b,SI = 6000 - 5000 = 1000. $R = \dfrac{SI \times 100}{P \times T} = \dfrac{1000 \times 100}{5000 \times 4} = 5\%$,CAT 2020 Slot 2,"Simple Interest, Rate Calculation"
Pinnacle 6800 6th Ed,Compound Interest,1,"Find the compound interest on ₹8000 at 12% per annum for 2 years, compounded annually.","{""a"":""2035.20"",""b"":""2048.00"",""c"":""2056.80"",""d"":""2072.00""}",a,$A = P(1 + \dfrac{R}{100})^n = 8000(1 + \dfrac{12}{100})^2 = 8000 \times 1.2544 = 10035.20$. CI = 10035.20 - 8000 = 2035.20,CAT 2023 Slot 3,"Compound Interest, Annual Compounding"
Pinnacle 6800 6th Ed,Compound Interest,2,The difference between compound interest and simple interest on a sum of money for 2 years at 10% per annum is ₹100. Find the principal.,"{""a"":""8000"",""b"":""9000"",""c"":""10000"",""d"":""11000""}",c,"Difference = $P(\dfrac{R}{100})^2 = P(\dfrac{10}{100})^2 = P \times 0.01 = 100$. Therefore, $P = \dfrac{100}{0.01} = 10000$",CAT 2022 Slot 1,"Compound Interest, Difference between CI and SI"
Pinnacle 6800 6th Ed,Time and Work,1,A can complete a work in 12 days and B can complete the same work in 18 days. In how many days will they complete the work if they work together?,"{""a"":""6.5 days"",""b"":""7.2 days"",""c"":""7.5 days"",""d"":""8 days""}",b,"A's 1 day work = $\dfrac{1}{12}$, B's 1 day work = $\dfrac{1}{18}$. Together: $\dfrac{1}{12} + \dfrac{1}{18} = \dfrac{3+2}{36} = \dfrac{5}{36}$. Time = $\dfrac{36}{5} = 7.2$ days",CAT 2021 Slot 2,"Time and Work, Working Together"
Pinnacle 6800 6th Ed,Time and Work,2,"A pipe can fill a tank in 6 hours and another pipe can empty it in 8 hours. If both pipes are opened together, in how many hours will the tank be filled?","{""a"":""12 hours"",""b"":""18 hours"",""c"":""24 hours"",""d"":""30 hours""}",c,"Filling pipe: $\dfrac{1}{6}$ per hour, Emptying pipe: $\dfrac{1}{8}$ per hour. Net filling: $\dfrac{1}{6} - \dfrac{1}{8} = \dfrac{4-3}{24} = \dfrac{1}{24}$ per hour. Time = 24 hours",CAT 2020 Slot 3,"Time and Work, Pipe and Cistern"
